1,박석재,1,1,1
2,최길석,1,1,2
3,박길명,1,1,3
4,정현수,1,1,4
5,박현수,1,1,5
6,최석동,1,1,6
7,김석재,1,1,7
8,최명명,1,1,8
9,정명재,1,1,9
10,이동수,1,1,10
11,정석수,1,2,1
12,최현현,1,2,2
13,최수석,1,2,3
14,박재석,1,2,4
15,이진재,1,2,5
16,정길길,1,2,6
17,정동동,1,2,7
18,이명동,1,2,8
19,정재수,1,2,9
20,박명길,1,2,10
21,최동명,1,3,1
22,정길재,1,3,2
23,이재현,1,3,3
24,이명재,1,3,4
25,박명진,1,3,5
26,정재길,1,3,6
27,정수명,1,3,7
28,최길진,1,3,8
29,김동길,1,3,9
30,정동길,1,3,10
31,김동동,1,4,1
32,이재석,1,4,2
33,박재진,1,4,3
34,최진동,1,4,4
35,이현재,1,4,5
36,최명길,1,4,6
37,박진현,1,4,7
38,정재명,1,4,8
39,정현석,1,4,9
40,김길수,1,4,10
41,최석명,1,5,1
42,이길현,1,5,2
43,이진수,1,5,3
44,정진재,1,5,4
45,정재현,1,5,5
46,최길재,1,5,6
47,이석진,1,5,7
48,박석진,1,5,8
49,이동동,1,5,9
50,김석길,1,5,10
51,정명동,2,1,1
52,박진수,2,1,2
53,최진석,2,1,3
54,최동석,2,1,4
55,박명재,2,1,5
56,박석재,2,1,6
57,김석진,2,1,7
58,정길재,2,1,8
59,박수석,2,1,9
60,최현수,2,1,10
61,이현길,2,2,1
62,김동명,2,2,2
63,최석길,2,2,3
64,이동진,2,2,4
65,정수현,2,2,5
66,정동수,2,2,6
67,박진재,2,2,7
68,정동수,2,2,8
69,박석수,2,2,9
70,정동석,2,2,10
71,박재석,2,3,1
72,정현동,2,3,2
73,최현재,2,3,3
74,이진동,2,3,4
75,이동길,2,3,5
76,최석석,2,3,6
77,최길길,2,3,7
78,정진진,2,3,8
79,최석길,2,3,9
80,이진석,2,3,10
81,정진동,2,4,1
82,박석재,2,4,2
83,이동현,2,4,3
84,정길석,2,4,4
85,김길진,2,4,5
86,최재진,2,4,6
87,정현재,2,4,7
88,이재길,2,4,8
89,이길진,2,4,9
90,최재길,2,4,10
91,김동동,2,5,1
92,최동동,2,5,2
93,최재수,2,5,3
94,이길길,2,5,4
95,박길현,2,5,5
96,정명명,2,5,6
97,이명동,2,5,7
98,김현현,2,5,8
99,최수석,2,5,9
100,이석현,2,5,10
101,정석동,3,1,1
102,김현명,3,1,2
103,이석명,3,1,3
104,이현현,3,1,4
105,박수명,3,1,5
106,박수진,3,1,6
107,박진동,3,1,7
108,이석길,3,1,8
109,정석석,3,1,9
110,박수진,3,1,10
111,이명석,3,2,1
112,정현명,3,2,2
113,이진진,3,2,3
114,박재동,3,2,4
115,김재길,3,2,5
116,박석석,3,2,6
117,박수수,3,2,7
118,최석현,3,2,8
119,박석길,3,2,9
120,최길수,3,2,10
121,최길동,3,3,1
122,정재명,3,3,2
123,정석수,3,3,3
124,최명명,3,3,4
125,정석명,3,3,5
126,박현길,3,3,6
127,정명현,3,3,7
128,김명진,3,3,8
129,이수길,3,3,9
130,김진길,3,3,10
131,김길수,3,4,1
132,박현석,3,4,2
133,최길명,3,4,3
134,정길수,3,4,4
135,김현진,3,4,5
136,최현재,3,4,6
137,김동재,3,4,7
138,김명석,3,4,8
139,이명석,3,4,9
140,최동석,3,4,10
141,김진명,3,5,1
142,정현동,3,5,2
143,최진진,3,5,3
144,정재동,3,5,4
145,김길동,3,5,5
146,김현길,3,5,6
147,김명동,3,5,7
148,이명석,3,5,8
149,최수수,3,5,9
150,이진길,3,5,10
